,Priv Union Members (%),us_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
58,6.6,2.8,52.59276288694691,0,1,1811185.133190057
59,6.5,3.0,52.59276288694691,0,0,794291.0208424
60,5.7,2.7,52.8232933866779,0,0,1656709.844779212
61,4.5,2.4,52.8232933866779,0,0,4130359.2656283844
62,4.5,2.3,60.890447336710395,0,1,1284136.5278637537
63,5.2,2.1,60.890447336710395,0,0,-1.04573957186021
64,4.0,2.4,43.799287572341115,1,0,33895513.99782411
65,4.5,2.6,43.799287572341115,0,0,-1361.3542399248558
66,4.0,2.4,41.22459594697476,0,0,632375.8111762
67,3.4,1.4,41.22459594697476,0,0,-218.06062454351724
68,3.2,1.8,45.22515895915404,0,0,119148.9744501
69,3.1,2.2,45.22515895915404,0,0,-238.2979489002
70,4.0,2.5,40.162199496468595,0,0,4413175.70416
71,3.4,2.3,40.162199496468595,0,1,-350.2520400126984
72,3.6,2.3,27.337098605934496,0,0,572822.4242601
73,2.8,1.7,27.337098605934496,0,0,-238.676010108375
74,2.7,1.0,56.24698853544324,0,0,0.0
75,2.5,1.7,56.24698853544324,0,0,310169.3743701
76,1.4,2.1,61.42175647895004,0,0,-238.59182643853848
77,2.1,1.8,61.42175647895004,0,0,0.0
78,2.9,1.7,61.353129830542755,0,0,0.0
79,2.8,1.8,61.353129830542755,0,1,1747758.0682023999
80,2.7,2.2,71.16146052179676,0,1,-264.8118285155152
81,3.9,1.8,71.16146052179676,0,1,0.0
82,4.1,2.1,62.5593445616655,0,0,13034579.4417421
83,4.3,2.2,62.5593445616655,0,1,16664229.903037671
84,3.6,1.7,70.2279811021913,0,1,-833.22597801793
86,5.0,2.8,59.381256316008255,0,0,-55.68938945994957
87,5.3,3.0,59.381256316008255,0,0,283.1511262920168
88,3.7,2.7,59.045255026739,0,0,-161.69945054695432
89,4.9,2.4,59.045255026739,0,0,354.3710593893244
90,4.3,2.3,57.14987357611236,0,0,-400.08855293658536
91,4.4,2.1,57.14987357611236,0,0,-335.4243806552381
92,4.2,2.4,58.31620789598651,0,0,215089527.7301568
93,3.3,2.6,58.31620789598651,0,0,-2053.403823805237
94,3.3,2.4,57.09326858673811,0,0,-468.6751620114286
95,3.4,1.4,57.09326858673811,0,0,124957.0689304
96,3.9,1.8,60.25242526496905,0,0,-449.0586676738462
97,3.9,2.2,60.25242526496905,0,0,1833.34695728
98,4.4,2.5,51.652278739577405,0,0,578.5049487518518
99,6.5,2.3,51.652278739577405,0,1,-454.5278467494737
100,7.0,2.3,47.39995565233284,1,1,865736.5648536051
101,3.6,1.7,47.39995565233284,0,1,-1146.0882704296773
102,3.6,1.0,53.02904051185264,0,0,1655319.3185336
103,3.9,1.7,53.02904051185264,0,1,5505.129753561073
104,3.2,2.1,52.07077476502507,0,1,18922939.597606823
105,2.9,1.8,52.07077476502507,0,1,-720.1130534310302
106,3.1,1.7,55.680453092559766,0,1,-167.81207846956522
107,3.3,1.8,55.680453092559766,0,1,-150.48148584190477
108,2.6,2.2,52.435797723443486,0,0,-312.6472574753218
109,1.8,1.8,52.435797723443486,0,1,5862986.871567746
110,2.4,2.1,48.659530938336886,1,1,29637773.67341661
111,3.4,2.2,48.659530938336886,0,1,-402.1326187229745
112,3.0,1.7,50.13436858697119,0,0,-946.7028987275942
114,11.1,2.8,48.8348850602294,0,0,0.0
115,11.0,3.0,48.8348850602294,1,0,27073359.2300292
116,10.4,2.7,45.26698238048557,1,0,555029.4786714654
117,10.0,2.4,45.26698238048557,1,1,-86.27343298959994
118,9.8,2.3,43.93918122913188,0,1,-468.9825222346
119,10.2,2.1,43.93918122913188,0,0,0.0
120,9.7,2.4,42.602878502563144,1,1,160739118.5311823
121,9.7,2.6,42.602878502563144,0,1,-1128.6444042266712
122,10.2,2.4,44.44035111237065,0,1,5210.779715726316
123,9.6,1.4,44.44035111237065,1,0,-469.1763293103652
124,9.4,1.8,43.28052222031903,0,0,0.0
125,9.7,2.2,43.28052222031903,1,0,8586204.2765092
126,9.0,2.5,39.95280493715904,1,0,-469.1914905196284
127,9.6,2.3,39.95280493715904,0,1,0.0
128,10.7,2.3,36.644562983243326,1,1,13877813.0366521
129,9.5,1.7,36.644562983243326,0,0,-1399.5226156053636
130,9.3,1.0,43.48520163978468,1,0,0.0
131,9.0,1.7,43.48520163978468,1,0,703356.4790692
132,8.9,2.1,37.1179899113079,1,0,9106578.13625522
133,8.9,1.8,37.1179899113079,0,0,-213.78044696184506
134,9.2,1.7,41.36994997911649,0,1,0.0
135,8.7,1.8,41.36994997911649,0,0,0.0
136,8.8,2.2,34.90403099205622,0,1,0.0
137,8.3,1.8,34.90403099205622,0,0,2821754.3578145998
138,8.3,2.1,32.61019184831378,1,1,39078541.54460487
139,8.8,2.2,32.61019184831378,1,1,9571101.568984892
140,9.6,1.7,33.72616077069754,0,1,-734.1118951193732
142,7.5,2.8,65.09155468649341,1,0,0.0
143,6.9,3.0,65.09155468649341,0,0,0.0
144,7.0,2.7,56.98980803408591,0,0,350497.6899615
145,6.7,2.4,56.98980803408591,0,1,-350.49768996150004
146,6.3,2.3,56.18024265607868,0,1,964363.0443941001
147,5.5,2.1,56.18024265607868,0,0,-267.2779588464881
148,6.0,2.4,59.65033173592662,1,0,87420041.18389821
149,6.2,2.6,59.65033173592662,0,0,-1036.1387185623435
150,5.4,2.4,53.89767860005955,0,0,0.0
151,5.2,1.4,53.89767860005955,0,0,0.0
152,5.2,1.8,48.64294503560795,0,0,0.0
153,5.3,2.2,48.64294503560795,0,0,7111570.1497926
154,5.0,2.5,40.534769505089976,0,0,4420243.047737126
155,5.6,2.3,40.534769505089976,0,1,-739.4239535058239
156,5.5,2.3,43.38453643546894,0,1,10284507.5523642
157,4.5,1.7,43.38453643546894,0,1,-1035.652279076298
158,3.8,1.0,50.13929598809405,0,0,0.0
159,4.9,1.7,50.13929598809405,0,1,0.0
160,4.9,2.1,46.67625387269801,0,1,0.0
161,5.0,1.8,46.67625387269801,0,1,0.0
162,7.4,1.7,49.9967258594619,0,1,0.0
163,6.5,1.8,49.9967258594619,0,1,0.0
164,6.9,2.2,47.70118729358216,0,1,0.0
165,7.1,1.8,47.70118729358216,0,1,0.0
166,8.1,2.1,42.9581157456438,1,1,0.0
167,6.0,2.2,42.9581157456438,0,1,0.0
168,5.0,1.7,43.5472282342533,0,0,0.0
170,11.9,2.8,47.24706243271631,0,0,255147.89992918907
171,11.6,3.0,47.24706243271631,0,0,96973.27569601723
172,9.4,2.7,42.26757369614512,0,0,-60.69691277495625
173,11.0,2.4,42.26757369614512,0,1,376495.47196193
174,10.9,2.3,46.315919610920545,0,1,538890.6733074596
175,10.0,2.1,46.315919610920545,0,0,-141.82622448499998
176,9.4,2.4,44.97095524137983,1,1,38284775.86999374
177,8.5,2.6,44.97095524137983,1,1,-581.560083691019
178,9.8,2.4,47.10176496928664,0,1,206670.06022030357
179,8.3,1.4,47.10176496928664,1,1,-64.6285601416
180,7.3,1.8,44.09023907812349,0,1,0.0
181,7.6,2.2,44.09023907812349,1,0,0.0
182,8.0,2.5,39.06948570769275,1,1,0.0
183,7.6,2.3,39.06948570769275,0,1,0.0
184,8.3,2.3,33.04866639299882,0,0,268259.50352411997
185,8.5,1.7,33.04866639299882,0,1,-206.35346424932305
186,8.3,1.0,40.236794523292,0,1,638244.142943
187,8.5,1.7,40.236794523292,0,0,-141.83203176511108
188,6.6,2.1,33.475013152408955,1,0,0.0
189,6.8,1.8,33.475013152408955,0,0,184280.76054299998
190,7.1,1.7,38.349048608568374,0,1,286864.3493604131
191,7.5,1.8,38.349048608568374,0,1,0.0
192,8.9,2.2,35.43473996354709,0,1,141552.86632312258
193,7.8,1.8,35.43473996354709,0,1,77372.14499967701
194,8.3,2.1,37.14248649087409,0,0,571636.9598310019
195,7.1,2.2,37.14248649087409,1,1,4402.763415873592
196,8.6,1.7,38.165699997800246,0,0,-125.37431760409308
226,10.3,2.8,70.73812356416147,0,0,168778.8547324249
227,8.7,3.0,70.73812356416147,0,0,75932.1866013104
228,8.4,2.7,69.54851572718313,0,1,10.72660977257587
229,8.4,2.4,69.54851572718313,0,1,534966.7392696415
230,9.1,2.3,66.3666225370993,0,1,536559.1321474212
231,10.2,2.1,66.3666225370993,0,0,-272.35906913285936
232,8.9,2.4,67.63954446452865,1,1,28599739.432355434
233,8.2,2.6,67.63954446452865,0,1,-414.84492257464376
234,7.4,2.4,72.06716140189575,0,0,-162.97081741201526
235,6.6,1.4,72.06716140189575,0,0,3121698.8567643
236,7.7,1.8,69.0862110126529,0,0,-158.00521590571427
237,7.0,2.2,69.0862110126529,0,0,330.027023545
238,5.8,2.5,57.17140654922247,0,0,2154057.270517315
239,7.2,2.3,57.17140654922247,0,1,1303844.3854638853
240,8.2,2.3,61.07996482097874,1,1,121980.99348698281
241,5.8,1.7,61.07996482097874,0,0,482.4022109867077
242,5.8,1.0,41.04293996780484,0,1,422886.97580518364
243,5.5,1.7,41.04293996780484,1,0,104.98100561757879
244,5.6,2.1,33.43744121383604,0,0,-178.3605506116909
245,5.2,1.8,33.43744121383604,0,0,177531.06996572998
246,4.8,1.7,36.761550317981836,0,1,1703187.6687342064
247,4.5,1.8,36.761550317981836,0,1,392204.6755128001
248,5.8,2.2,40.96386974373361,0,0,94757.86556523909
249,6.1,1.8,40.96386974373361,0,0,-272.30137630242405
250,5.9,2.1,35.54603004504773,0,0,648665.2179032799
251,4.4,2.2,35.54603004504773,0,1,866518.7731949426
252,4.5,1.7,40.22200831507158,0,0,-247.6631361307857
254,4.2,2.8,59.39827111807949,0,0,338319.7421836073
255,3.5,3.0,59.39827111807949,0,0,-668.7363093546667
256,3.8,2.7,56.25642978762493,0,0,3907885.3531326
257,3.2,2.4,56.25642978762493,0,0,901287.7073308984
258,3.2,2.3,45.97800813835701,0,0,-758.3070027236956
259,3.4,2.1,45.97800813835701,1,0,1292912.100028
260,3.3,2.4,56.90476570575629,1,0,3001815.096766666
261,3.5,2.6,56.90476570575629,0,0,-1693.0962000952368
262,2.8,2.4,57.38261715452067,0,0,3274515.0865517994
263,3.3,1.4,57.38261715452067,0,0,-1023.7047290651999
264,2.8,1.8,58.98355557237771,0,0,0.0
265,2.5,2.2,58.98355557237771,1,0,579712.5808242
266,2.3,2.5,56.668303068552085,1,1,5303959.854356152
267,2.5,2.3,56.668303068552085,0,1,1044297.3813540589
268,2.3,2.3,51.099286986129144,0,1,-282.4848107138919
269,2.0,1.7,51.099286986129144,0,1,0.0
270,2.3,1.0,58.709006643660736,0,1,0.0
271,2.8,1.7,58.709006643660736,0,0,0.0
272,2.4,2.1,50.92839110639784,0,1,0.0
273,2.3,1.8,50.92839110639784,0,1,0.0
274,2.5,1.7,54.28472485770399,0,1,0.0
275,3.3,1.8,54.28472485770399,0,1,0.0
276,2.5,2.2,53.56344709421046,0,0,0.0
277,2.7,1.8,53.56344709421046,0,1,0.0
278,2.4,2.1,52.34533175341951,0,1,62700536.133799195
279,3.0,2.2,52.34533175341951,1,1,38280566.63216132
280,3.6,1.7,52.262520318133475,0,0,-2068.8531679928465
338,9.4,2.8,57.30648266943318,1,0,-703.2912950844827
339,8.6,3.0,57.30648266943318,1,0,585826.5031185218
340,8.8,2.7,54.12905847806135,0,0,650103.0450147495
341,9.6,2.4,54.12905847806135,0,1,4537817.912836079
342,9.2,2.3,61.25972992147227,1,1,1863803.4712011954
343,10.0,2.1,61.25972992147227,0,0,-122.82806935214364
344,10.5,2.4,56.21936557847036,1,0,36836061.2263151
345,10.0,2.6,56.21936557847036,0,0,-1023.5049305264922
346,7.6,2.4,53.95715281714203,0,0,-541.2203934463998
347,7.8,1.4,53.95715281714203,0,0,2089.9589658453
348,7.2,1.8,56.4171583247666,1,0,383074.23696332995
349,7.3,2.2,56.4171583247666,0,0,164349.20708434188
350,7.3,2.5,50.57092047191575,0,0,7262934.143334325
351,6.2,2.3,50.57092047191575,0,0,-714.9371301299934
