,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
58,6.6,2.8,0,1,1811185.133190057
59,6.5,3.0,0,0,794291.0208424
60,5.7,2.7,0,0,1656709.844779212
61,4.5,2.4,0,0,4130359.2656283844
62,4.5,2.3,0,1,1284136.5278637537
63,5.2,2.1,0,0,-1.04573957186021
64,4.0,2.4,1,0,33895513.99782411
65,4.5,2.6,0,0,-1361.3542399248558
66,4.0,2.4,0,0,632375.8111762
67,3.4,1.4,0,0,-218.06062454351724
68,3.2,1.8,0,0,119148.9744501
69,3.1,2.2,0,0,-238.2979489002
70,4.0,2.5,0,0,4413175.70416
71,3.4,2.3,0,1,-350.2520400126984
72,3.6,2.3,0,0,572822.4242601
73,2.8,1.7,0,0,-238.676010108375
74,2.7,1.0,0,0,0.0
75,2.5,1.7,0,0,310169.3743701
76,1.4,2.1,0,0,-238.59182643853848
77,2.1,1.8,0,0,0.0
78,2.9,1.7,0,0,0.0
79,2.8,1.8,0,1,1747758.0682023999
80,2.7,2.2,0,1,-264.8118285155152
81,3.9,1.8,0,1,0.0
82,4.1,2.1,0,0,13034579.4417421
83,4.3,2.2,0,1,16664229.903037671
84,3.6,1.7,0,1,-833.22597801793
86,5.0,2.8,0,0,-55.68938945994957
87,5.3,3.0,0,0,283.1511262920168
88,3.7,2.7,0,0,-161.69945054695432
89,4.9,2.4,0,0,354.3710593893244
90,4.3,2.3,0,0,-400.08855293658536
91,4.4,2.1,0,0,-335.4243806552381
92,4.2,2.4,0,0,215089527.7301568
93,3.3,2.6,0,0,-2053.403823805237
94,3.3,2.4,0,0,-468.6751620114286
95,3.4,1.4,0,0,124957.0689304
96,3.9,1.8,0,0,-449.0586676738462
97,3.9,2.2,0,0,1833.34695728
98,4.4,2.5,0,0,578.5049487518518
99,6.5,2.3,0,1,-454.5278467494737
100,7.0,2.3,1,1,865736.5648536051
101,3.6,1.7,0,1,-1146.0882704296773
102,3.6,1.0,0,0,1655319.3185336
103,3.9,1.7,0,1,5505.129753561073
104,3.2,2.1,0,1,18922939.597606823
105,2.9,1.8,0,1,-720.1130534310302
106,3.1,1.7,0,1,-167.81207846956522
107,3.3,1.8,0,1,-150.48148584190477
108,2.6,2.2,0,0,-312.6472574753218
109,1.8,1.8,0,1,5862986.871567746
110,2.4,2.1,1,1,29637773.67341661
111,3.4,2.2,0,1,-402.1326187229745
112,3.0,1.7,0,0,-946.7028987275942
114,11.1,2.8,0,0,0.0
115,11.0,3.0,1,0,27073359.2300292
116,10.4,2.7,1,0,555029.4786714654
117,10.0,2.4,1,1,-86.27343298959994
118,9.8,2.3,0,1,-468.9825222346
119,10.2,2.1,0,0,0.0
120,9.7,2.4,1,1,160739118.5311823
121,9.7,2.6,0,1,-1128.6444042266712
122,10.2,2.4,0,1,5210.779715726316
123,9.6,1.4,1,0,-469.1763293103652
124,9.4,1.8,0,0,0.0
125,9.7,2.2,1,0,8586204.2765092
126,9.0,2.5,1,0,-469.1914905196284
127,9.6,2.3,0,1,0.0
128,10.7,2.3,1,1,13877813.0366521
129,9.5,1.7,0,0,-1399.5226156053636
130,9.3,1.0,1,0,0.0
131,9.0,1.7,1,0,703356.4790692
132,8.9,2.1,1,0,9106578.13625522
133,8.9,1.8,0,0,-213.78044696184506
134,9.2,1.7,0,1,0.0
135,8.7,1.8,0,0,0.0
136,8.8,2.2,0,1,0.0
137,8.3,1.8,0,0,2821754.3578145998
138,8.3,2.1,1,1,39078541.54460487
139,8.8,2.2,1,1,9571101.568984892
140,9.6,1.7,0,1,-734.1118951193732
142,7.5,2.8,1,0,0.0
143,6.9,3.0,0,0,0.0
144,7.0,2.7,0,0,350497.6899615
145,6.7,2.4,0,1,-350.49768996150004
146,6.3,2.3,0,1,964363.0443941001
