state,latitude,longitude,Closest State #1,Distance to Closest State #1,Closest State #2,Distance to Closest State #2,Closest State #3,Distance to Closest State #3,Closest State #4,Distance to Closest State #4,Closest State #5,Distance to Closest State #5
AL,32.7794,-86.8287,MS,165.3344597,GA,197.4879037,TN,213.9546178,LA,325.7129074,KY,339.0031754
AK,64.0685,-152.2782,WA,1663.916968,OR,1861.85843,MT,1985.735915,ID,1995.169309,ND,2237.421669
AZ,34.2744,-111.6602,NM,317.2763527,UT,346.9249621,NV,444.2022127,CO,470.3409495,CA,482.4597256
AR,34.8938,-92.4426,MS,218.1358438,MO,238.7754999,LA,264.8519576,OK,289.6637579,TN,350.27984
CA,37.1841,-119.4696,NV,213.7854654,UT,448.5793215,OR,469.2171308,AZ,482.4597256,ID,556.0466104
CO,38.9972,-105.5478,WY,295.1054565,NM,318.0577278,UT,329.4770206,NE,350.8485385,KS,388.6316274
CT,41.6219,-72.7273,RI,60.73487207,MA,64.64876288,NJ,141.863557,NH,153.6254105,VT,168.9264884
DE,38.9896,-75.505,MD,69.34093155,DC,81.50394121,NJ,94.01667872,PA,178.3929857,VA,208.360154
DC,38.9101,-77.0147,MD,15.65561516,DE,81.50394121,VA,138.5116395,PA,142.0380162,NJ,153.1211238
FL,28.6305,-82.4497,GA,282.5611786,SC,375.6047621,AL,386.7328758,NC,509.7646008,MS,514.2631074
GA,32.6415,-83.4426,SC,171.597622,AL,197.4879037,TN,277.1909591,FL,282.5611786,NC,307.1943293
HI,20.2927,-156.3737,CA,2501.929912,OR,2623.917672,NV,2693.397214,WA,2742.560104,AZ,2887.977304
ID,44.3509,-114.613,OR,296.9262512,MT,304.6675907,WA,350.6666798,NV,361.8768577,WY,365.8963296
IL,40.0417,-89.1965,IN,155.0678837,MO,210.1200965,IA,264.7560303,KY,272.1800584,WI,318.9209225
IN,39.8942,-86.2816,IL,155.0678837,KY,171.143239,OH,186.7842082,TN,278.3966363,MI,310.5473503
IA,42.0751,-93.496,WI,249.1400937,MO,262.3653627,IL,264.7560303,MN,293.1384453,NE,327.2958333
KS,38.4937,-98.3804,OK,206.21026,NE,223.0208591,MO,321.4329001,IA,357.1956603,CO,388.6316274
KY,37.5347,-85.3021,TN,129.4434306,IN,171.143239,OH,233.0001946,WV,266.209931,IL,272.1800584
LA,31.0689,-91.9968,MS,178.7067765,AR,264.8519576,AL,325.7129074,TX,434.8302458,OK,445.0202039
ME,45.3695,-69.2428,NH,164.1254139,VT,190.9401644,MA,250.0642097,RI,280.174951,CT,312.3440209
MD,39.055,-76.7909,DC,15.65561516,DE,69.34093155,PA,136.7031898,NJ,137.503247,VA,154.1421408
MA,42.2596,-71.8083,RI,42.30662408,CT,64.64876288,NH,98.75771202,VT,132.1869685,NY,195.5456418
MI,44.3467,-85.4102,WI,227.359326,IN,310.5473503,OH,310.617856,IL,354.9409337,IA,437.1205544
MN,46.2807,-94.3053,WI,238.690855,IA,293.1384453,ND,302.7521628,SD,314.8120216,NE,426.7563496
MS,32.7364,-89.6678,AL,165.3344597,LA,178.7067765,AR,218.1358438,TN,286.8475115,GA,362.7618516
MO,38.3566,-92.458,IL,210.1200965,AR,238.7754999,IA,262.3653627,KS,321.4329001,OK,337.6604349
MT,47.0527,-109.6333,WY,298.1024155,ID,304.6675907,ND,431.8271934,SD,488.8175261,WA,509.0748175
NE,41.5378,-99.7951,SD,201.8203555,KS,223.0208591,IA,327.2958333,CO,350.8485385,ND,409.571531
NV,39.3289,-116.6312,CA,213.7854654,UT,265.8062834,ID,361.8768577,OR,377.1608925,AZ,444.2022127
NH,43.6805,-71.5811,VT,60.43946428,MA,98.75771202,RI,138.3545018,CT,153.6254105,ME,164.1254139
