Year,State Census Code,State,Sector,Obs,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1993,63,Alabama,Total,"2,204","1,657",243,281,14.7%,17.0%
1993,63,Alabama,Public,381,276,77,99,27.8%,35.9%
1993,63,Alabama,Private,"1,823","1,381",166,182,12.0%,13.2%
1993,63,Alabama,Priv. Manufacturing,529,396,97,106,24.6%,26.7%
1993,63,Alabama,Priv. Construction,119,89,18,18,20.0%,20.0%
1993,94,Alaska,Total,"2,419",240,48,53,20.0%,22.1%
1993,94,Alaska,Public,755,75,31,34,41.3%,45.6%
1993,94,Alaska,Private,"1,664",165,17,19,10.3%,11.4%
1993,94,Alaska,Priv. Manufacturing,110,11,2,2,14.4%,14.4%
1993,94,Alaska,Priv. Construction,124,12,4,4,34.1%,34.4%
1993,86,Arizona,Total,"1,635","1,490",114,154,7.6%,10.3%
1993,86,Arizona,Public,315,279,50,74,17.9%,26.4%
1993,86,Arizona,Private,"1,320","1,212",64,81,5.2%,6.6%
1993,86,Arizona,Priv. Manufacturing,193,182,7,9,3.9%,4.9%
1993,86,Arizona,Priv. Construction,103,98,11,13,11.6%,13.6%
1993,71,Arkansas,Total,"2,133",936,77,97,8.3%,10.4%
1993,71,Arkansas,Public,365,157,19,28,12.2%,18.1%
1993,71,Arkansas,Private,"1,768",778,58,69,7.5%,8.8%
1993,71,Arkansas,Priv. Manufacturing,523,232,30,36,12.8%,15.7%
1993,71,Arkansas,Priv. Construction,96,43,3,4,6.9%,8.3%
1993,93,California,Total,"12,691","12,018","2,139","2,415",17.8%,20.1%
1993,93,California,Public,"2,150","2,052",984,"1,154",47.9%,56.2%
1993,93,California,Private,"10,541","9,967","1,156","1,261",11.6%,12.7%
1993,93,California,Priv. Manufacturing,"2,179","2,019",232,252,11.5%,12.5%
1993,93,California,Priv. Construction,503,517,117,121,22.5%,23.5%
1993,84,Colorado,Total,"2,208","1,559",153,178,9.8%,11.4%
1993,84,Colorado,Public,389,274,61,80,22.3%,29.2%
1993,84,Colorado,Private,"1,819","1,285",92,98,7.2%,7.7%
1993,84,Colorado,Priv. Manufacturing,312,219,12,14,5.6%,6.5%
1993,84,Colorado,Priv. Construction,108,79,11,11,14.5%,14.5%
1993,16,Connecticut,Total,"1,838","1,500",281,300,18.7%,20.0%
1993,16,Connecticut,Public,240,197,122,126,62.1%,63.8%
1993,16,Connecticut,Private,"1,598","1,303",158,174,12.2%,13.3%
1993,16,Connecticut,Priv. Manufacturing,428,341,57,60,16.9%,17.7%
1993,16,Connecticut,Priv. Construction,63,48,18,18,38.2%,38.2%
1993,51,Delaware,Total,"1,619",321,49,55,15.3%,17.1%
1993,51,Delaware,Public,237,46,17,20,37.8%,42.5%
1993,51,Delaware,Private,"1,382",274,32,35,11.5%,12.8%
1993,51,Delaware,Priv. Manufacturing,332,66,14,15,21.5%,22.7%
1993,51,Delaware,Priv. Construction,77,16,2,3,14.1%,17.7%
1993,53,District of Columbia,Total,"1,490",258,36,48,13.8%,18.6%
1993,53,District of Columbia,Public,507,87,20,28,23.1%,32.0%
1993,53,District of Columbia,Private,983,171,15,20,9.1%,11.7%
1993,53,District of Columbia,Priv. Manufacturing,62,11,2,2,14.3%,21.1%
1993,53,District of Columbia,Priv. Construction,33,6,1,1,12.5%,14.6%
1993,59,Florida,Total,"7,294","5,446",420,583,7.7%,10.7%
1993,59,Florida,Public,"1,234",926,246,359,26.5%,38.7%
1993,59,Florida,Private,"6,060","4,520",174,224,3.9%,5.0%
1993,59,Florida,Priv. Manufacturing,744,550,33,41,6.0%,7.5%
1993,59,Florida,Priv. Construction,369,283,12,14,4.3%,5.0%
1993,58,Georgia,Total,"2,004","2,866",191,226,6.7%,7.9%
1993,58,Georgia,Public,376,536,60,74,11.2%,13.7%
1993,58,Georgia,Private,"1,628","2,330",131,152,5.6%,6.5%
1993,58,Georgia,Priv. Manufacturing,377,522,49,51,9.4%,9.8%
1993,58,Georgia,Priv. Construction,83,123,10,12,8.2%,9.5%
1993,95,Hawaii,Total,"1,727",499,140,156,28.2%,31.4%
1993,95,Hawaii,Public,401,116,65,68,56.4%,58.5%
1993,95,Hawaii,Private,"1,326",383,75,89,19.6%,23.1%
1993,95,Hawaii,Priv. Manufacturing,61,18,5,6,30.5%,32.0%
1993,95,Hawaii,Priv. Construction,140,41,21,21,51.9%,51.9%
1993,82,Idaho,Total,"2,173",437,44,53,10.2%,12.1%
1993,82,Idaho,Public,419,83,16,21,19.0%,24.9%
1993,82,Idaho,Private,"1,754",354,29,32,8.1%,9.1%
1993,82,Idaho,Priv. Manufacturing,370,77,13,14,16.2%,18.0%
1993,82,Idaho,Priv. Construction,127,26,3,3,10.6%,11.8%
1993,33,Illinois,Total,"7,352","4,980","1,046","1,118",21.0%,22.5%
1993,33,Illinois,Public,"1,099",734,338,368,46.1%,50.1%
1993,33,Illinois,Private,"6,253","4,246",708,750,16.7%,17.7%
1993,33,Illinois,Priv. Manufacturing,"1,373",941,249,260,26.5%,27.6%
1993,33,Illinois,Priv. Construction,287,196,100,100,50.9%,51.3%
1993,32,Indiana,Total,"2,195","2,468",457,486,18.5%,19.7%
1993,32,Indiana,Public,317,352,93,112,26.5%,31.7%
1993,32,Indiana,Private,"1,878","2,116",363,374,17.2%,17.7%
1993,32,Indiana,Priv. Manufacturing,619,660,238,244,36.1%,36.9%
1993,32,Indiana,Priv. Construction,97,111,32,33,28.6%,29.4%
1993,42,Iowa,Total,"2,547","1,272",163,195,12.8%,15.3%
1993,42,Iowa,Public,461,228,71,92,30.9%,40.4%
1993,42,Iowa,Private,"2,086","1,044",93,103,8.9%,9.8%
1993,42,Iowa,Priv. Manufacturing,503,251,61,64,24.2%,25.4%
1993,42,Iowa,Priv. Construction,107,55,11,12,19.5%,21.7%
1993,47,Kansas,Total,"2,286","1,079",106,135,9.8%,12.5%
1993,47,Kansas,Public,465,217,43,58,19.8%,26.6%
1993,47,Kansas,Private,"1,821",862,63,77,7.3%,8.9%
1993,47,Kansas,Priv. Manufacturing,416,196,31,39,15.9%,20.0%
1993,47,Kansas,Priv. Construction,82,40,5,5,12.0%,13.3%
1993,61,Kentucky,Total,"2,006","1,453",184,208,12.7%,14.3%
1993,61,Kentucky,Public,347,246,46,63,18.8%,25.5%
1993,61,Kentucky,Private,"1,659","1,207",138,146,11.4%,12.1%
1993,61,Kentucky,Priv. Manufacturing,370,272,73,76,26.9%,27.8%
1993,61,Kentucky,Priv. Construction,116,85,10,10,12.1%,12.1%
1993,72,Louisiana,Total,"1,537","1,513",142,166,9.4%,10.9%
1993,72,Louisiana,Public,331,328,70,87,21.2%,26.6%
1993,72,Louisiana,Private,"1,206","1,185",73,78,6.1%,6.6%
1993,72,Louisiana,Priv. Manufacturing,180,174,31,31,17.8%,17.8%
