X.1,% Approve
Aug 01 2022,71
Aug 02 2021,68
Jul 30 2020,65
Aug 01 2019,64
Aug 01 2018,62
Aug 02 2017,61
Aug 03 2016,56
Aug 05 2015,58
Aug 07 2014,53
Aug 07 2013,54
Aug 09 2012,52
Aug 11 2011,52
Aug 05 2010,52
Aug 06 2009,48
Aug 07 2008,59
Aug 13 2007,60
Aug 07 2006,59
Aug 08 2005,58
Aug 09 2004,59
Aug 04 2003,65
Aug 05 2002,58
Aug 16 2001,60
Aug 24 1999,65
Mar 05 1999,66
Aug 12 1997,60
Jul 18 1991,60
Jul 11 1986,59
Apr 12 1985,58
Aug 14 1981,55
May 04 1979,55
Jan 06 1978,59
Dec 08 1972,60
Mar 24 1972,60
Sep 14 1967,66
May 13 1965,71
Jan 11 1963,68
Jun 28 1962,64
Sep 21 1961,69
May 04 1961,63
Jan 12 1961,70
Aug 20 1959,73
Jan 07 1959,68
Oct 15 1958,64
Aug 29 1957,65
Apr 06 1957,74
Jan 17 1957,75
Oct 09 1953,75
Dec 10 1948,64
Jul 04 1947,64
Jan 01 1941,61
Jan 01 1936,72
